"Month","Month_Num","Point_Forecast","Lower_80","Upper_80","Lower_95","Upper_95","Conservative","Optimistic"
"Jan",1,1703,1320,2086,1117,2288,1320,2086
"Feb",2,1937,1293,2582,952,2923,1293,2582
"Mar",3,2305,1512,3097,1092,3517,1512,3097
"Apr",4,3064,2171,3957,1699,4430,2171,3957
"May",5,3180,2215,4145,1705,4656,2215,4145
"Jun",6,3247,2229,4265,1690,4804,2229,4265
"Jul",7,3711,2652,4769,2092,5330,2652,4769
"Aug",8,4226,3136,5315,2560,5892,3136,5315
"Sep",9,3495,2382,4608,1792,5198,2382,4608
"Oct",10,3085,1953,4217,1354,4816,1953,4217
"Nov",11,2049,903,3196,296,3802,903,3196
"Dec",12,1921,763,3079,151,3692,763,3079
