Year,Annual_Total,Extraction_Method,Source_Row,Source_Sheet,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,20773.8,total,5,Q1,10386.900000000001,1503.8,1101.8000000000002,2836.4,2795.2,2149.7,,,,,,
2015,20674.0,total,5,Q1,10337.0,1471.0,1102.1,2782.5,2803.0,2178.4,,,,,,
2016,20612.718994581315,total,5,611,10306.359497290658,1447.8908255130632,1098.1114166675065,2730.6386666682515,2731.7714072070657,2297.947181234771,,,,,,
2017,23953.765,total,11,2.1,1102.271,1221.875,1541.714,2177.033,2254.4010000000003,2398.9230000000002,2613.9550000000004,2939.1040000000003,2626.6440000000002,2288.0370000000003,1428.3400000000001,1361.468
2018,25249.904000000002,total,10,2.1,1175.192,1332.691,1781.1960000000001,2108.5299999999997,2430.238,2482.333,2688.691,3114.9719999999998,2744.67,2384.716,1563.689,1442.986
2019,29495.372,total,9,2.1,1335.186,1461.826,1964.905,2471.7690000000002,2792.456,2986.0209999999997,3230.8269999999998,3959.124,3176.17,2631.204,1834.698,1651.186
2020,11668.287000000002,total,9,2.1,1490.691,1674.267,729.12,47.815,143.552,572.725,1237.321,2253.8289999999997,1528.012,1075.59,431.98,483.385
2021,15974.588000000002,total,9,2.1,319.661,219.285,298.628,486.553,1055.196,1505.789,1893.004,2969.9739999999997,2265.219,2264.7019999999998,1527.17,1169.407
2022,28860.871000000003,total,9,3.1,908.256,1313.727,1659.754,2494.497,2719.3979999999997,2915.997,3431.9379999999996,3959.9059999999995,3159.631,2783.362,1824.4050000000002,1690.0
2023,32481.846,total,9,2.1,1518.775,1733.37,2166.3250000000003,2939.0920000000006,3046.723,3089.901,3563.202,4103.229,3433.4860000000003,3031.537,1980.846,1875.36
